FID,fstatus,akz,baujahr,fkt_faehig,bemerkung,oart,menge,rechts_w,hoch_w,land,gdb_geomattr_data,shape
wes.68432,1,,,1,"LW, Holzplatz Rochower Heide, abgestimt mit Brandschutz Amt Dahme",430,0,398680,5739687,100000,,POINT (398680.37320000026 5739687.1998)
wes.68433,2,,,3,,410,0,459618,5777074,100000,,POINT (459617.8465999998 5777073.9463)
wes.68434,2,,,3,,470,0,460099,5776722,100000,,POINT (460099.40299999993 5776722.1841)
wes.68435,2,,,3,,470,0,458622,5783045,100000,,POINT (458621.52830000035 5783045.420399999)
wes.68436,2,,,3,,470,0,459479,5782951,100000,,POINT (459479.04360000044 5782950.8083999995)
wes.68437,2,,,3,,410,0,402193,5885425,100000,,POINT (402192.82629999984 5885424.597100001)
wes.68438,2,,,3,Janketeich,420,,460583,5773451,100000,,POINT (460582.5270999996 5773451.260299999)
wes.68439,1,,,0,Entnahme am Stau,400,,314386,5833345,100000,,POINT (314386.0636 5833345.081900001)
wes.68440,1,,,0,,400,,303099,5880721,100000,,POINT (303099.1140999999 5880721.429500001)
wes.68441,2,,,0,,470,,307919,5883903,100000,,POINT (307918.5851999996 5883903.0967999995)
wes.68442,2,,,3,,470,,465025,5776828,100000,,POINT (465024.6657999996 5776827.6423)
wes.68443,1,,,0,,430,,309689,5882260,100000,,POINT (309688.7993999999 5882259.6076)
wes.68444,2,,,3,,470,,308826,5880020,100000,,POINT (308826.3152999999 5880020.4662)
wes.68445,1,,,1,Tiefbrunnen,400,,460224,5778917,100000,,POINT (460223.9288999997 5778917.215399999)
wes.68446,1,,,0,Schafwäsche,400,,463183,5777571,100000,,POINT (463182.89910000004 5777571.419600001)
wes.68447,1,,,0,,400,,361888,5776312,100000,,POINT (361887.9353 5776311.5801)
wes.68448,1,,,0,,400,,365316,5779951,100000,,POINT (365316.02020000014 5779950.7688)
wes.68449,2,,,2,ein Hydrant ist dort vorhanden Nutzung bisher für Landwirtschaft,450,,400812,5852801,100000,,POINT (400811.8786000004 5852801.1557)
wes.68450,1,,,1,LWE Massenbedarfsplatz,440,,394195,5889341,100000,,POINT (394194.58550000004 5889340.882200001)
wes.68451,2,,,0,"Kahntop, offenes Gewässer",420,,473143,5767268,100000,,POINT (473143.4121000003 5767268.3375)
wes.68452,2,,,3,,424,,397973,5773798,100000,,POINT (397973.04169999994 5773797.9483)
wes.68453,1,,,0,LWE Rednitzsee,400,10000,388424,5902556,100000,,POINT (388423.5750000002 5902556.3771)
wes.68454,1,,,0,LWE Tiefer See,400,10000,390815,5899818,100000,,POINT (390814.7137000002 5899818.2118)
wes.68455,1,,,0,,400,,343432,5781410,100000,,POINT (343431.7762000002 5781409.7127)
wes.68456,1,,,1,"geplanter Tiefbrunnen auf Eigentum der Gemeinde Schorfheide, großer Kiefernkomplex jüngeren Alters",430,,398774,5860357,100000,,POINT (398774.24930000026 5860357.2118999995)
wes.68457,2,,,0,,470,250,453652,5714440,100000,,POINT (453651.93180000037 5714439.980599999)
wes.68458,1,,,0,,440,,396005,5775936,100000,,POINT (396004.6065999996 5775935.8826)
wes.68459,2,,,3,"ehem. Wasserwerk Schwarzenburg, Tiefbrunnen mit 2 Behältern a 180m3 (ges. 360m3)",430,1,400992,5734667,100000,,POINT (400992.0338000003 5734667.4164)
wes.68460,1,,,0,,400,,320169,5844268,100000,,POINT (320169.3931 5844268.418199999)
wes.68461,1,,,1,,400,,333199,5898380,100000,,POINT (333199.0741999997 5898379.7929)
wes.68462,2,,,0,Angabe zur Funktion fehlt,410,0,407388,5856673,100000,,POINT (407388.42420000024 5856672.9772)
wes.68463,2,,,3,,410,0,407088,5859126,100000,,POINT (407088.42420000024 5859126.225199999)
wes.68464,2,,,3,Eiserbudersee offenes Gewässer,410,0,405116,5853220,100000,,POINT (405116.3770000003 5853219.926000001)
wes.68465,2,,,3,,410,,404283,5853971,100000,,POINT (404283.3060999997 5853970.713400001)
wes.68466,2,,,0,Angabe zur Funktion fehlt,410,0,402338,5849147,100000,,POINT (402337.63680000044 5849147.2882)
wes.68467,2,,,2,,480,,422193,5728236,100000,,POINT (422192.9287999999 5728236.147500001)
wes.68468,2,,,2,,430,,421559,5730150,100000,,POINT (421558.608 5730149.8871)
wes.68469,2,,,2,,414,,418677,5732128,100000,,POINT (418677.06180000026 5732128.4746)
wes.68470,2,,,3,,410,,402551,5850456,100000,,POINT (402551.1655000001 5850455.6906)
